Notification Date,School,City,School District,Health Region,Exposure Dates,Extra Info
05/20/2021,Walter Moberly Elementary,Vancouver,39,Vancouver Coastal Health,May 17,Exposure 9
05/20/2021,Abbotsford Traditional Middle School,Abbotsford,34,Fraser Health Authority,May 17 and 18,Exposure 15
05/20/2021,Abbotsford Traditional Middle School,Abbotsford,34,Fraser Health Authority,May 14,Exposure 14
05/20/2021,Cloverdale Traditional Elementary (Victoria),Victoria,61,Vancouver Island Health Authority,May 17,Exposure 1
05/20/2021,Oaklands Elementary,Victoria,61,Vancouver Island Health Authority,May 13 and 14,Exposure 3
05/20/2021,Wix-Brown Elementary,Langley,35,Fraser Health Authority,May 14,Exposure 1
05/20/2021,Sa-hali Secondary,Kamloops,73,Interior Health Authority,"""May 14, 17 and 18""",Exposure 16
05/20/2021,J.W. Sexsmith Community Elementary,Vancouver,39,Vancouver Coastal Health,"""May 13, 14, and 20""",Exposure 6
05/20/2021,Brocklehurst Middle School,Kamloops,73,Interior Health Authority,"""May 13, 14, 17, and 18""",Exposure 5
05/20/2021,North Delta Secondary,Delta,37,Fraser Health Authority,May 7,Expousre 39
05/20/2021,North Delta Secondary,Delta,37,Fraser Health Authority,May 11,Exposure 40
05/20/2021,Rutland Middle School,Kelowna,23,Interior Health Authority,"""May 12, 13, and 14""",Exposure 7
05/20/2021,Byrne Creek Community Secondary,Burnaby,41,Fraser Health Authority,May 14,Exposure 26
05/20/2021,Burnaby South Secondary,Burnaby,41,Fraser Health Authority,May 14 and 17,Exposure 17
05/20/2021,Ecole Kilmer Elementary,Port Coquitlam,43,Fraser Health Authority,"""May 10, 12, 13, 14, 17, 18""",Exposure 5
05/20/2021,Rutland Senior Secondary,Kelowna,23,Interior Health Authority,"""May 17, 18""",Expousre 23
05/20/2021,D W Poppy Secondary,Langley,35,Fraser Health Authority,"""May 13, 14""",Exposure 16
05/20/2021,Cedar Elementary (Nanaimo),Nanaimo,68,Vancouver Island Health Authority,"""May 17, 18""",Exposure 3
05/20/2021,Ecole Riverside Secondary,Port Coquitlam,43,Fraser Health Authority,May 14,Exposure 16
05/20/2021,Second Street Community Elementary,Burnaby,41,Fraser Health Authority,May 17,Exposure 7
05/20/2021,Osoyoos Elementary,Osoyoos,53,Interior Health Authority,"""May 12, 13, and 14""",Exposure 1
05/20/2021,Kitsilano Secondary,Vancouver,39,Vancouver Coastal Health,May 14,Exposure 22
05/20/2021,Enver Creek Secondary,Surrey,36,Fraser Health Authority,May 17,Exposure 50
05/20/2021,Burnaby South Secondary,Burnaby,41,Fraser Health Authority,"""May 12, 13""",Exposure 18
05/20/2021,Armstrong Elementary (Burnaby),Burnaby,41,Fraser Health Authority,May 14,Exposure 12
05/20/2021,Ross Elementary,Abbotsford,34,Fraser Health Authority,"""May 12, 13""",Exposure 9
05/19/2021,Correlieu Secondary School,Quesnel,28,Northern Health,"""May 4, 5, 6, and 7""",Exposure 2
05/19/2021,Quesnel Junior High School,Quesnel,28,Northern Health,"""May 5, 6, and 7""",Exposure 4
05/19/2021,Beaver Creek Elementary,Surrey,36,Fraser Health Authority,May 6,Exposure 12
05/19/2021,Tamanawis Secondary,Surrey,36,Fraser Health Authority,May 13,Exposure 63
05/19/2021,Burnsview Secondary,Delta,37,Fraser Health Authority,"""May 11, 12, 13, 14, and 17""",Exposure 16
05/19/2021,George Elliot Secondary,,23,Interior Health Authority,May 14 and 17,Exposure 9
05/19/2021,West Sechelt Elementary,Sechelt,46,Vancouver Coastal Health,May 10 and 11,Exposure 2
05/19/2021,Continuing Ed SD 36,Surrey,36,Fraser Health Authority,May 12,Expsoure 1
05/19/2021,Barlow Creek Elementary,Quesnel,28,Northern Health,"""May 4, 5, 6, and 7""",Exposure 1
05/19/2021,New Westminster Secondary,New Westminster,40,Fraser Health Authority,May 12 and 13,Exposure 33
05/19/2021,Lord Kelvin Elementary,New Westminster,40,Fraser Health Authority,"""May 12, 13, 14""",Exposure 5
05/19/2021,Ecole Maple Creek Middle,Port Coquitlam,43,Fraser Health Authority,"""May 11, 13, and 14""",Exposure 7
05/19/2021,Mission Senior Secondary,Mission,75,Fraser Health Authority,May 13,Exposure 15
05/19/2021,Chilliwack Secondary,Chilliwack,33,Fraser Health Authority,May 14,Exposure 23
05/19/2021,William F. Davidson Elementary,Surrey,36,Fraser Health Authority,May 11,Exposure 7
